meal_name,num_ingredients,calories,prep_time,protein,fat,carbs,vegan,vegetarian,keto,paleo,gluten_free,mediterranean,is_healthy
Gluten-Free Pasta,0.2727272727272727,0.4909090909090909,0.84,0.7836791164816183,0.5979073292293274,0.4445718604904733,0,0,0,0,1,0,1
Grilled Salmon,0.9090909090909091,0.15818181818181817,0.7,0.14358802949018415,0.6520815495218811,0.05060912416478373,0,0,1,1,1,1,0
Lentil Soup,0.45454545454545453,0.7,0.4,0.6206374920193753,0.6127475610288435,0.0006883689503828042,0,1,0,0,0,0,0
Chickpea Stew,0.9090909090909091,0.10545454545454545,0.82,0.04689336337406631,0.9757605996296853,0.22902565323392177,1,1,0,0,0,0,0
Turkey Lettuce Wraps,0.18181818181818182,0.44181818181818183,0.04,0.8643402019700046,0.6815746035272576,0.4492927819101209,0,0,1,1,1,1,0
Cauliflower Rice Bowl,0.2727272727272727,0.5727272727272728,0.26,0.8125327277358156,0.3049359717360003,0.09235085357044508,1,1,0,1,1,0,1
Almond Flour Pancakes,1.0,0.6654545454545454,0.12,0.6131142429244506,0.8348464853860428,0.16892614527426433,0,1,1,1,1,0,0
Chickpea Stew,0.2727272727272727,0.7036363636363636,0.02,0.42732522740596474,0.20802073700129778,0.5678606966659067,1,1,0,0,0,0,1
Cauliflower Rice Bowl,0.8181818181818182,0.2927272727272727,0.18,0.8994061154953945,0.5989597903725732,0.9261651007275953,1,1,0,1,1,0,0
Vegan Curry,0.5454545454545454,0.45636363636363636,0.78,0.8488546083516119,0.7487557103648721,0.5395258601107095,1,1,0,0,0,0,0
Tofu Stir Fry,0.7272727272727273,0.28363636363636363,0.28,0.1661030631325829,0.015231836970205706,0.42187898719970807,1,1,0,0,0,0,0
Quinoa Salad,1.0,0.8563636363636363,0.2,0.19985077011392563,0.7126870686240638,0.792930491158903,1,1,0,0,0,1,0
Mediterranean Wrap,0.8181818181818182,0.41818181818181815,0.8,0.9196417193314164,0.8517325129256483,0.448231975206608,0,0,0,0,0,1,0
Quinoa Salad,0.5454545454545454,0.7381818181818182,0.46,0.6693268402944578,0.5923409948895683,0.27146534627410485,1,1,0,0,0,1,0
Keto Omelette,0.0,0.8381818181818181,0.04,0.7646761773951315,0.5622449035627055,0.7734981161322768,0,0,1,0,1,0,0
Gluten-Free Pasta,0.9090909090909091,0.7127272727272728,0.28,0.42972260704851906,0.025039160319839035,0.10268934766961217,0,0,0,0,1,0,0
Gluten-Free Pasta,0.0,0.17272727272727273,0.06,0.9122105906290744,0.24947529913584351,0.40870860267083886,0,0,0,0,1,0,0
Grilled Salmon,0.2727272727272727,0.9527272727272728,0.62,0.601925948678716,0.6960884083390182,0.884275809212313,0,0,1,1,1,1,0
Vegetarian Pizza,0.7272727272727273,0.04909090909090909,0.86,0.1875154678460743,0.8943598716403433,0.5391718890952869,0,1,0,0,0,0,0
Gluten-Free Pasta,0.0,0.6981818181818182,0.52,0.42928715485002217,0.8196281618068026,0.8643083708474789,0,0,0,0,1,0,0
Gluten-Free Pasta,0.45454545454545453,0.8272727272727273,0.52,0.4195406249150426,0.22222251218402342,0.11480293218465921,0,0,0,0,1,0,0
Lentil Soup,0.6363636363636364,0.6781818181818182,0.62,0.5214403204093901,0.7043431426061666,0.3614100288488382,0,1,0,0,0,0,0
Chickpea Stew,0.8181818181818182,0.48545454545454547,0.76,0.4997876936196097,0.30119111777322366,0.2817020554069785,1,1,0,0,0,0,1
Chickpea Stew,0.9090909090909091,0.20363636363636364,0.02,0.5052460694809017,0.05116432426437971,0.27543578837481464,1,1,0,0,0,0,0
Quinoa Salad,0.0,0.730909090909091,0.02,0.5336465804409141,0.44846543532487476,0.5528807708505465,1,1,0,0,0,1,0
Vegan Buddha Bowl,0.5454545454545454,0.36727272727272725,0.32,0.7319404001337115,0.3682642049780106,0.6332196508395695,1,1,0,0,1,0,1
Paleo Chicken Bowl,0.45454545454545453,0.9272727272727272,0.94,0.8024289367531422,0.15065270057474295,0.5076652182113695,0,0,1,1,1,0,0
Eggplant Parmesan,0.18181818181818182,0.730909090909091,0.5,0.5147083985007513,0.22662151255546908,0.6462366695276998,0,1,0,0,0,1,0
Almond Flour Pancakes,0.7272727272727273,1.0,0.34,0.8419958598169651,0.6769455692551672,0.7373301143594055,0,1,1,1,1,0,0
Cauliflower Rice Bowl,0.5454545454545454,0.7527272727272727,0.58,0.699342075141106,0.2286809255442748,0.1705349651752047,1,1,0,1,1,0,0
Eggplant Parmesan,0.7272727272727273,0.0018181818181818182,0.0,0.09356869006389795,0.8990283427613591,0.904458693606296,0,1,0,0,0,1,0
Keto Avocado Salad,0.7272727272727273,0.1781818181818182,0.36,0.7296681331684393,0.8989225794352305,0.8909715826599102,0,0,1,1,1,0,0
Quinoa Salad,0.6363636363636364,0.7618181818181818,0.74,0.6724084664319857,0.581703141745634,0.37016410918221015,1,1,0,0,0,1,0
Keto Omelette,0.7272727272727273,0.6127272727272727,0.02,0.6954329219050955,0.653157034112529,0.22042446868030874,0,0,1,0,1,0,1
Quinoa Salad,0.2727272727272727,0.7218181818181818,0.4,0.1797283743191311,0.36694655128212905,0.7463889474854278,1,1,0,0,0,1,0
Keto Omelette,0.0,0.05818181818181818,0.94,0.09414362444313781,0.36819670598543214,0.2618349021822484,0,0,1,0,1,0,0
Shrimp Zoodles,0.45454545454545453,0.4163636363636364,0.88,0.48922744315247185,0.9079337131702191,0.43300007477428826,0,0,1,1,1,0,0
Quinoa Salad,1.0,0.8727272727272727,0.08,0.23135442299170886,0.500004946308139,0.5722147612706096,1,1,0,0,0,1,0
Chickpea Stew,0.0,0.3109090909090909,0.54,0.47234363238612553,0.27981953548656036,0.8873372848441404,1,1,0,0,0,0,0
Keto Avocado Salad,0.36363636363636365,0.5072727272727273,0.56,0.4303690362605235,0.968642041712772,0.9683976958705834,0,0,1,1,1,0,0
Quinoa Salad,0.2727272727272727,0.34545454545454546,0.4,0.19187870927482273,0.2687061708053387,0.48447902769241014,1,1,0,0,0,1,0
Cauliflower Rice Bowl,0.7272727272727273,0.5854545454545454,0.78,0.07076567078160953,0.20900024902177491,0.6725102754082589,1,1,0,1,1,0,0
Chicken Stir Fry,0.9090909090909091,0.889090909090909,0.02,0.3241937534879258,0.8503602875987724,0.13175431005924865,0,0,1,1,1,0,0
